nombre,categoria,precio,marca,precio_anterior,referencia,etiqueta,stock,descripcion_secciones,especificaciones,info_marca
AMD Ryzen 5 5600,Procesador,2200,AMD,,100-100000927BOX,,25,"Descripción general | AMD Ryzen 5 5600: Procesador confiable de 6 núcleos, ideal para gaming 1080p y uso general. || Rendimiento y arquitectura | El AMD Ryzen 5 5600 ofrece un rendimiento sólido para gaming y productividad. Su arquitectura moderna garantiza eficiencia energética y capacidad de respuesta en tareas exigentes como edición, renderizado y multitarea pesada. || Compatibilidad | Este procesador AMD es compatible con placas madre del socket correspondiente, facilitando su integración en builds nuevas o actualizaciones. Verifica el socket de tu placa madre antes de comprar. || Casos de uso recomendados | Ideal para gamers, creadores de contenido y profesionales que buscan un equilibrio entre potencia y eficiencia. Funciona excelente para gaming en 1080p/1440p y cargas de trabajo de productividad.",Especificaciones del procesador: Socket=AM4; Núcleos=6 / Hilos - 12; Frecuencia=3.5-4.4 GHz; TDP=65W; Caché L3=32MB || General: Marca=AMD; Categoría=Procesador; Garantía=12 meses,"AMD es líder mundial en procesadores y tarjetas gráficas de alto rendimiento. Reconocida por su arquitectura Zen y RDNA, ofrece excelente relación precio-rendimiento para gaming y productividad profesional."
Corsair Vengeance LPX 16GB DDR4 3600MHz,Memoria RAM,1450,Corsair,,CMK16GX4M2D3600C18,,30,"Descripción general | Corsair Vengeance LPX 16GB DDR4 3600MHz: Disipador bajo perfil, ideal para gabinetes compactos. || Velocidad y capacidad | La Corsair Vengeance LPX 16GB DDR4 3600MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB (2x8GB); Velocidad=3600 MHz; Tipo=DDR4; Latencia=CL18 || General: Marca=Corsair; Categoría=Memoria RAM; Garantía=12 meses,"Corsair es referente en componentes y periféricos gaming: memorias, fuentes de poder, refrigeración y gabinetes de alta calidad reconocidos mundialmente."
Corsair Vengeance LPX 32GB DDR4 3600MHz,Memoria RAM,2600,Corsair,,CMK32GX4M2D3600C18,,22,"Descripción general | Corsair Vengeance LPX 32GB DDR4 3600MHz: 32GB para multitarea pesada y streaming simultáneo. || Velocidad y capacidad | La Corsair Vengeance LPX 32GB DDR4 3600MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=32GB (2x16GB); Velocidad=3600 MHz; Tipo=DDR4; Latencia=CL18 || General: Marca=Corsair; Categoría=Memoria RAM; Garantía=12 meses,"Corsair es referente en componentes y periféricos gaming: memorias, fuentes de poder, refrigeración y gabinetes de alta calidad reconocidos mundialmente."
G.Skill Ripjaws V 16GB DDR4 3200MHz,Memoria RAM,1200,G.Skill,,F4-3200C16D-16GVK,,28,"Descripción general | G.Skill Ripjaws V 16GB DDR4 3200MHz: Kit clásico de alto rendimiento y gran compatibilidad. || Velocidad y capacidad | La G.Skill Ripjaws V 16GB DDR4 3200MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB (2x8GB); Velocidad=3200 MHz; Tipo=DDR4; Latencia=CL16 || General: Marca=G.Skill; Categoría=Memoria RAM; Garantía=12 meses,G.Skill es fabricante especializado en memorias RAM de alto rendimiento. Su línea Trident Z es favorita entre overclockers y entusiastas del gaming.
ADATA XPG Gammix D10 16GB DDR4 3200MHz,Memoria RAM,1050,ADATA,,AX4U320016G16A-DT10,,25,"Descripción general | ADATA XPG Gammix D10 16GB DDR4 3200MHz: Disipador rojo llamativo a precio competitivo. || Velocidad y capacidad | La ADATA XPG Gammix D10 16GB DDR4 3200MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB (2x8GB); Velocidad=3200 MHz; Tipo=DDR4; Latencia=CL16 || General: Marca=ADATA; Categoría=Memoria RAM; Garantía=12 meses,"ADATA (XPG) es fabricante de memorias y almacenamiento con buena relación precio-rendimiento, popular en builds gaming de presupuesto medio."
Kingston Fury Beast 16GB DDR5 5200MHz,Memoria RAM,1650,Kingston,,KF552C40BB-16,,26,"Descripción general | Kingston Fury Beast 16GB DDR5 5200MHz: Entrada a DDR5 con buen rendimiento para nuevas plataformas. || Velocidad y capacidad | La Kingston Fury Beast 16GB DDR5 5200MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB; Velocidad=5200 MHz; Tipo=DDR5; Latencia=CL40 || General: Marca=Kingston; Categoría=Memoria RAM; Garantía=12 meses,Kingston es líder mundial en memorias RAM y almacenamiento. Su línea Fury ofrece módulos de alto rendimiento confiables para gaming y productividad.
Corsair Vengeance 64GB DDR5 6000MHz,Memoria RAM,5200,Corsair,,CMK64GX5M2B6000Z30,,12,"Descripción general | Corsair Vengeance 64GB DDR5 6000MHz: 64GB para workstations, edición de video y virtualización. || Velocidad y capacidad | La Corsair Vengeance 64GB DDR5 6000MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=64GB (2x32GB); Velocidad=6000 MHz; Tipo=DDR5; Latencia=CL30 || General: Marca=Corsair; Categoría=Memoria RAM; Garantía=12 meses,"Corsair es referente en componentes y periféricos gaming: memorias, fuentes de poder, refrigeración y gabinetes de alta calidad reconocidos mundialmente."
Corsair Dominator Platinum 32GB DDR5 6200MHz,Memoria RAM,4200,Corsair,,CMT32GX5M2X6200C36,HOT,10,"Descripción general | Corsair Dominator Platinum 32GB DDR5 6200MHz: Gama alta con iluminación RGB y disipación premium. || Velocidad y capacidad | La Corsair Dominator Platinum 32GB DDR5 6200MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=32GB (2x16GB); Velocidad=6200 MHz; Tipo=DDR5; Latencia=CL36 || General: Marca=Corsair; Categoría=Memoria RAM; Garantía=12 meses,"Corsair es referente en componentes y periféricos gaming: memorias, fuentes de poder, refrigeración y gabinetes de alta calidad reconocidos mundialmente."
G.Skill Trident Z5 RGB 32GB DDR5 6400MHz,Memoria RAM,3800,G.Skill,,F5-6400J3239G16GX2-TZ5RK,,14,"Descripción general | G.Skill Trident Z5 RGB 32GB DDR5 6400MHz: Alto rendimiento con RGB para sistemas gamer de gama alta. || Velocidad y capacidad | La G.Skill Trident Z5 RGB 32GB DDR5 6400MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=32GB (2x16GB); Velocidad=6400 MHz; Tipo=DDR5; Latencia=CL32 || General: Marca=G.Skill; Categoría=Memoria RAM; Garantía=12 meses,G.Skill es fabricante especializado en memorias RAM de alto rendimiento. Su línea Trident Z es favorita entre overclockers y entusiastas del gaming.
G.Skill Trident Z5 Neo 32GB DDR5 6000MHz,Memoria RAM,3200,G.Skill,,F5-6000J3038F16GX2-TZ5N,,16,"Descripción general | G.Skill Trident Z5 Neo 32GB DDR5 6000MHz: Optimizado específicamente para plataformas AMD AM5. || Velocidad y capacidad | La G.Skill Trident Z5 Neo 32GB DDR5 6000MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=32GB (2x16GB); Velocidad=6000 MHz; Tipo=DDR5; Latencia=CL30 || General: Marca=G.Skill; Categoría=Memoria RAM; Garantía=12 meses,G.Skill es fabricante especializado en memorias RAM de alto rendimiento. Su línea Trident Z es favorita entre overclockers y entusiastas del gaming.
Crucial 16GB DDR5 4800MHz,Memoria RAM,1100,Crucial,,CT16G48C40U5,,30,"Descripción general | Crucial 16GB DDR5 4800MHz: Memoria confiable a precio accesible para nuevas builds. || Velocidad y capacidad | La Crucial 16GB DDR5 4800MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB; Velocidad=4800 MHz; Tipo=DDR5; Latencia=CL40 || General: Marca=Crucial; Categoría=Memoria RAM; Garantía=12 meses,"Crucial, marca de Micron, es reconocida por su almacenamiento y memorias confiables. Sus SSD son de los más recomendados por su durabilidad y rendimiento."
Crucial Pro 32GB DDR5 5600MHz,Memoria RAM,2100,Crucial,,CP2K16G56C46U5,,18,"Descripción general | Crucial Pro 32GB DDR5 5600MHz: Kit dual channel optimizado para Intel y AMD. || Velocidad y capacidad | La Crucial Pro 32GB DDR5 5600MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=32GB (2x16GB); Velocidad=5600 MHz; Tipo=DDR5; Latencia=CL46 || General: Marca=Crucial; Categoría=Memoria RAM; Garantía=12 meses,"Crucial, marca de Micron, es reconocida por su almacenamiento y memorias confiables. Sus SSD son de los más recomendados por su durabilidad y rendimiento."
TeamGroup T-Force Delta RGB 32GB DDR5 6000MHz,Memoria RAM,2950,TeamGroup,,FF3D532G6000HC38ADC01,,15,"Descripción general | TeamGroup T-Force Delta RGB 32GB DDR5 6000MHz: Efecto de luz RGB envolvente con buen rendimiento. || Velocidad y capacidad | La TeamGroup T-Force Delta RGB 32GB DDR5 6000MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=32GB (2x16GB); Velocidad=6000 MHz; Tipo=DDR5; Latencia=CL38 || General: Marca=TeamGroup; Categoría=Memoria RAM; Garantía=12 meses,TeamGroup es fabricante de memorias y almacenamiento con líneas gaming T-Force que combinan rendimiento e iluminación RGB a buen precio.
ADATA XPG Lancer 16GB DDR5 6000MHz,Memoria RAM,1350,ADATA,,AX5U6000C3016G-DTLABK,,22,"Descripción general | ADATA XPG Lancer 16GB DDR5 6000MHz: Diseño angular agresivo a precio competitivo. || Velocidad y capacidad | La ADATA XPG Lancer 16GB DDR5 6000MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB; Velocidad=6000 MHz; Tipo=DDR5; Latencia=CL30 || General: Marca=ADATA; Categoría=Memoria RAM; Garantía=12 meses,"ADATA (XPG) es fabricante de memorias y almacenamiento con buena relación precio-rendimiento, popular en builds gaming de presupuesto medio."
Kingston Fury Renegade 32GB DDR5 6400MHz,Memoria RAM,3500,Kingston,,KF564C32RBK2-32,NUEVO,9,"Descripción general | Kingston Fury Renegade 32GB DDR5 6400MHz: La línea más rápida de Kingston para entusiastas. || Velocidad y capacidad | La Kingston Fury Renegade 32GB DDR5 6400MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=32GB (2x16GB); Velocidad=6400 MHz; Tipo=DDR5; Latencia=CL32 || General: Marca=Kingston; Categoría=Memoria RAM; Garantía=12 meses,Kingston es líder mundial en memorias RAM y almacenamiento. Su línea Fury ofrece módulos de alto rendimiento confiables para gaming y productividad.
Corsair Vengeance 16GB DDR4 3200MHz,Memoria RAM,950,Corsair,,CMK16GX4M1E3200C16,,32,"Descripción general | Corsair Vengeance 16GB DDR4 3200MHz: Módulo único de 16GB, fácil de combinar a futuro. || Velocidad y capacidad | La Corsair Vengeance 16GB DDR4 3200MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB; Velocidad=3200 MHz; Tipo=DDR4; Latencia=CL16 || General: Marca=Corsair; Categoría=Memoria RAM; Garantía=12 meses,"Corsair es referente en componentes y periféricos gaming: memorias, fuentes de poder, refrigeración y gabinetes de alta calidad reconocidos mundialmente."
Patriot Viper Steel 16GB DDR4 3600MHz,Memoria RAM,1150,Patriot,,PVS416G360C8K,,20,"Descripción general | Patriot Viper Steel 16GB DDR4 3600MHz: Disipador de acero con buen overclocking en DDR4. || Velocidad y capacidad | La Patriot Viper Steel 16GB DDR4 3600MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=16GB (2x8GB); Velocidad=3600 MHz; Tipo=DDR4; Latencia=CL18 || General: Marca=Patriot; Categoría=Memoria RAM; Garantía=12 meses,Patriot Memory es fabricante de módulos de memoria y almacenamiento con buena relación calidad-precio para gamers y entusiastas.
HyperX Fury 8GB DDR4 2666MHz,Memoria RAM,650,HyperX,,HX426C16FB3/8,,38,"Descripción general | HyperX Fury 8GB DDR4 2666MHz: Opción económica para actualizar sistemas DDR4 básicos. || Velocidad y capacidad | La HyperX Fury 8GB DDR4 2666MHz acelera el rendimiento general de tu sistema. Mayor velocidad y capacidad de memoria se traducen en multitarea más fluida, carga más rápida de aplicaciones y mejor desempeño en gaming. || Compatibilidad y overclocking | Compatible con plataformas Intel y AMD modernas. Soporta perfiles de overclocking automático para exprimir el máximo rendimiento con una configuración sencilla desde el BIOS. || Casos de uso recomendados | Recomendada para gamers, editores y usuarios que ejecutan múltiples aplicaciones simultáneamente. Una actualización de RAM es de las mejoras más notorias en cualquier PC.",Especificaciones de memoria: Capacidad=8GB; Velocidad=2666 MHz; Tipo=DDR4; Latencia=CL16 || General: Marca=HyperX; Categoría=Memoria RAM; Garantía=12 meses,"HyperX es marca gaming reconocida por sus memorias, periféricos y audífonos. Ofrece productos confiables con estética orientada a jugadores."
ASUS Prime B650-PLUS,Placa Madre,3200,ASUS,,PRIME-B650-PLUS,,14,"Descripción general | ASUS Prime B650-PLUS: Opción confiable de entrada a la plataforma AM5. || Plataforma y características | La ASUS Prime B650-PLUS es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=B650; Formato=ATX; RAM=DDR5, hasta 128GB; PCIe=4.0 x16 || General: Marca=ASUS; Categoría=Placa Madre; Garantía=12 meses",ASUS es una de las marcas más respetadas en hardware de PC. Su línea ROG (Republic of Gamers) es referente mundial en componentes gaming premium y de alto rendimiento.
ASUS TUF Gaming B650-PLUS,Placa Madre,3950,ASUS,,TUF-GAMING-B650-PLUS,,12,"Descripción general | ASUS TUF Gaming B650-PLUS: Durabilidad militar TUF a precio accesible para AM5. || Plataforma y características | La ASUS TUF Gaming B650-PLUS es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=B650; Formato=ATX; RAM=DDR5, hasta 128GB; PCIe=4.0 x16 || General: Marca=ASUS; Categoría=Placa Madre; Garantía=12 meses",ASUS es una de las marcas más respetadas en hardware de PC. Su línea ROG (Republic of Gamers) es referente mundial en componentes gaming premium y de alto rendimiento.
ASUS ROG Strix X670E-E Gaming,Placa Madre,8900,ASUS,,ROG-STRIX-X670E-E,,5,"Descripción general | ASUS ROG Strix X670E-E Gaming: Gama alta con PCIe 5.0 completo y VRM robusto. || Plataforma y características | La ASUS ROG Strix X670E-E Gaming es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=X670E; Formato=ATX; RAM=DDR5, hasta 128GB; PCIe=5.0 x16 || General: Marca=ASUS; Categoría=Placa Madre; Garantía=12 meses",ASUS es una de las marcas más respetadas en hardware de PC. Su línea ROG (Republic of Gamers) es referente mundial en componentes gaming premium y de alto rendimiento.
MSI MAG B650 Tomahawk,Placa Madre,4200,MSI,,MAG-B650-TOMAHAWK,HOT,13,"Descripción general | MSI MAG B650 Tomahawk: La favorita de la comunidad por su excelente VRM a buen precio. || Plataforma y características | La MSI MAG B650 Tomahawk es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=B650; Formato=ATX; RAM=DDR5, hasta 128GB; PCIe=4.0 x16 || General: Marca=MSI; Categoría=Placa Madre; Garantía=12 meses","MSI es un fabricante taiwanés reconocido por sus componentes gaming de alta calidad: tarjetas gráficas, placas madre y periféricos diseñados para entusiastas y jugadores exigentes."
MSI PRO B650M-A,Placa Madre,2800,MSI,,PRO-B650M-A,,16,"Descripción general | MSI PRO B650M-A: Formato compacto Micro-ATX para builds económicas en AM5. || Plataforma y características | La MSI PRO B650M-A es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=B650; Formato=Micro-ATX; RAM=DDR5, hasta 96GB; PCIe=4.0 x16 || General: Marca=MSI; Categoría=Placa Madre; Garantía=12 meses","MSI es un fabricante taiwanés reconocido por sus componentes gaming de alta calidad: tarjetas gráficas, placas madre y periféricos diseñados para entusiastas y jugadores exigentes."
MSI MEG X670E ACE,Placa Madre,9800,MSI,,MEG-X670E-ACE,,3,"Descripción general | MSI MEG X670E ACE: Tope de gama de MSI con disipación premium y WiFi 7. || Plataforma y características | La MSI MEG X670E ACE es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=X670E; Formato=E-ATX; RAM=DDR5, hasta 128GB; PCIe=5.0 x16 || General: Marca=MSI; Categoría=Placa Madre; Garantía=12 meses","MSI es un fabricante taiwanés reconocido por sus componentes gaming de alta calidad: tarjetas gráficas, placas madre y periféricos diseñados para entusiastas y jugadores exigentes."
Gigabyte B650 Aorus Elite AX,Placa Madre,4600,Gigabyte,,B650-AORUS-ELITE-AX,,11,"Descripción general | Gigabyte B650 Aorus Elite AX: WiFi 6E integrado y buena disipación térmica. || Plataforma y características | La Gigabyte B650 Aorus Elite AX es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=B650; Formato=ATX; RAM=DDR5, hasta 128GB; PCIe=4.0 x16 || General: Marca=Gigabyte; Categoría=Placa Madre; Garantía=12 meses",Gigabyte es un fabricante líder de placas madre y tarjetas gráficas. Su línea AORUS está orientada al gaming de alto desempeño con diseños robustos y buena disipación.
Gigabyte X670E Aorus Master,Placa Madre,9200,Gigabyte,,X670E-AORUS-MASTER,,4,"Descripción general | Gigabyte X670E Aorus Master: VRM de 16 fases para los procesadores más exigentes. || Plataforma y características | La Gigabyte X670E Aorus Master es la base de tu sistema, conectando todos los componentes. Ofrece soporte para procesadores modernos, ranuras de expansión PCIe y conectividad completa para almacenamiento y periféricos. || Conectividad y expansión | Incluye puertos USB de alta velocidad, ranuras M.2 para SSD NVMe y opciones de red. Su diseño de entrega de energía (VRM) garantiza estabilidad incluso con procesadores de gama alta. || Casos de uso recomendados | Ideal para armar un PC nuevo o actualizar tu plataforma. Elige según el socket de tu procesador y las características que necesites para tu build.","Especificaciones de la placa: Socket=AM5; Chipset=X670E; Formato=E-ATX; RAM=DDR5, hasta 128GB; PCIe=5.0 x16 || General: Marca=Gigabyte; Categoría=Placa Madre; Garantía=12 meses",Gigabyte es un fabricante líder de placas madre y tarjetas gráficas. Su línea AORUS está orientada al gaming de alto desempeño con diseños robustos y buena disipación.
